Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),Raw power(),Power Percent(%)()
 15:34:33.137,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.447, 0.923, 0.26, -2.808, 2.869, -4.456, , , , , , , 75.844, 22.28, -178.863, 72.727, -126.160, 169.840, 24.62, 0.11398, -0.16101, 0.60461, 0.77161, 405, 100,
 15:34:33.139,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.447, 0.92, 0.255, -2.93, 1.953, -3.967, , , , , , , 75.828, 22.302, -178.857, 72.727, -126.160, 169.840, 24.62, 0.11398, -0.16101, 0.60461, 0.77161, 405, 100,
 15:34:33.139,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.446, 0.912, 0.257, -2.197, 0.671, -2.991, , , , , , , 75.817, 22.319, -178.857, 72.727, -126.160, 169.840, 24.62, 0.11398, -0.16101, 0.60461, 0.77161, 405, 100,
 15:34:33.139,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.445, 0.904, 0.263, -1.099, -0.305, -2.197, , , , , , , 75.806, 22.33, -178.863, 72.727, -126.160, 169.840, 24.62, 0.11398, -0.16101, 0.60461, 0.77161, 405, 100,
 15:34:33.139,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.444, 0.902, 0.265, 0.183, -1.038, -1.526, , , , , , , 75.8, 22.341, -178.868, 72.727, -126.160, 169.840, 24.62, 0.11398, -0.16101, 0.60461, 0.77161, 405, 100,
 15:34:33.139,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.439, 0.907, 0.265, 0.732, -1.099, -0.977, , , , , , , 75.8, 22.341, -178.879, 72.727, -126.160, 169.840, 24.62, 0.11398, -0.16101, 0.60461, 0.77161, 405, 100,
 15:34:33.139,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.433, 0.914, 0.259, 0.916, -1.16, -0.549, , , , , , , 75.8, 22.341, -178.885, 72.727, -126.160, 169.840, 24.62, 0.11398, -0.16101, 0.60461, 0.77161, 405, 100,
 15:34:33.140,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.427, 0.92, 0.257, 0.549, -1.099, 0, , , , , , , 75.8, 22.341, -178.89, 72.727, -126.160, 169.840, 24.62, 0.11398, -0.16101, 0.60461, 0.77161, 405, 100,
 15:34:33.170,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.42, 0.921, 0.255, -0.061, -0.427, 0.732, , , , , , , 75.795, 22.335, -178.896, 72.727, -126.160, 169.840, 24.62, 0.11398, -0.16101, 0.60461, 0.77161, 405, 100,
 15:34:33.170,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.411, 0.916, 0.255, 0, 0.122, 1.648, , , , , , , 75.795, 22.33, -178.896, 72.727, -126.160, 169.840, 24.62, 0.11398, -0.16101, 0.60461, 0.77161, 405, 100,
 15:34:33.170,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.407, 0.909, 0.258, 0.854, 0.61, 2.319, , , , , , , 75.8, 22.319, -178.89, 72.727, -126.160, 169.840, 24.62, 0.11398, -0.16101, 0.60461, 0.77161, 405, 100,
 15:34:33.170,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.406, 0.908, 0.253, 1.16, 1.343, 2.441, , , , , , , 75.806, 22.308, -178.885, 72.727, -126.160, 169.840, 24.62, 0.11398, -0.16101, 0.60461, 0.77161, 405, 100,
 15:34:33.170,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.408, 0.91, 0.255, 1.465, 1.953, 2.319, , , , , , , 75.817, 22.297, -178.868, 72.727, -126.160, 169.840, 24.62, 0.11398, -0.16101, 0.60461, 0.77161, 405, 100,
 15:34:33.170,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.409, 0.914, 0.259, 2.319, 2.136, 2.136, , , , , , , 75.833, 22.286, -178.857, 72.727, -126.160, 169.840, 24.62, 0.11398, -0.16101, 0.60461, 0.77161, 405, 100,
 15:34:33.170,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.405, 0.918, 0.253, 2.869, 2.197, 1.587, , , , , , , 75.85, 22.28, -178.841, 72.727, -126.160, 169.840, 24.62, 0.11398, -0.16101, 0.60461, 0.77161, 405, 100,
 15:34:33.170,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.398, 0.923, 0.243, 2.869, 1.831, 1.038, , , , , , , 75.866, 22.275, -178.83, 72.727, -126.160, 169.840, 24.62, 0.11398, -0.16101, 0.60461, 0.77161, 405, 100,
 15:34:33.234,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.391, 0.928, 0.24, 2.563, 1.404, 0.793, , , , , , , 75.883, 22.275, -178.819, 72.727, -126.160, 169.840, 24.62, 0.11621, -0.1665, 0.59839, 0.77496, 405, 100,
 15:34:33.234,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.388, 0.934, 0.242, 1.648, 1.587, 0.488, , , , , , , 75.894, 22.269, -178.813, 72.727, -126.160, 169.840, 24.62, 0.11621, -0.1665, 0.59839, 0.77496, 405, 100,
 15:34:33.234,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.387, 0.934, 0.242, 0.671, 2.136, 0.061, , , , , , , 75.905, 22.269, -178.802, 72.727, -126.160, 169.840, 24.62, 0.11621, -0.1665, 0.59839, 0.77496, 405, 100,
 15:34:33.234,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.385, 0.923, 0.24, 0.61, 2.686, 0.183, , , , , , , 75.91, 22.269, -178.792, 72.727, -126.160, 169.840, 24.62, 0.11621, -0.1665, 0.59839, 0.77496, 405, 100,
 15:34:33.234,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.379, 0.915, 0.238, 0.671, 3.174, 0.488, , , , , , , 75.921, 22.275, -178.775, 72.727, -126.160, 169.840, 24.62, 0.11621, -0.1665, 0.59839, 0.77496, 405, 100,
 15:34:33.234,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.38, 0.91, 0.24, 0.671, 3.723, 0.61, , , , , , , 75.932, 22.275, -178.759, 72.727, -126.160, 169.840, 24.62, 0.11621, -0.1665, 0.59839, 0.77496, 405, 100,
 15:34:33.234,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.386, 0.908, 0.244, 0.671, 4.395, 0.488, , , , , , , 75.943, 22.275, -178.737, 72.727, -126.160, 169.840, 24.62, 0.11621, -0.1665, 0.59839, 0.77496, 405, 100,
 15:34:33.234,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.392, 0.906, 0.244, 0.793, 4.883, 0.183, , , , , , , 75.954, 22.275, -178.709, 72.727, -126.160, 169.840, 24.62, 0.11621, -0.1665, 0.59839, 0.77496, 405, 100,
 15:34:33.250,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.391, 0.905, 0.24, 1.221, 4.822, -0.366, , , , , , , 75.965, 22.28, -178.682, 72.727, -126.160, 169.840, 24.62, 0.11621, -0.1665, 0.59839, 0.77496, 405, 100,
 15:34:33.250,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.388, 0.903, 0.236, 1.831, 4.578, -0.977, , , , , , , 75.987, 22.291, -178.66, 72.727, -126.160, 169.840, 24.62, 0.11621, -0.1665, 0.59839, 0.77496, 405, 100,
 15:34:33.250,d7:ab:97:c1:e4:84, 2015-01-01 00:18:07.040, -0.391, 0.903, 0.234, 1.709, 4.395, -1.404, , , , , , , 76.003, 22.302, -178.638, 72.727, -126.160, 169.840, 24.62, 0.11621, -0.1665, 0.59839, 0.77496, 405, 100,
