Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),Raw power(),Power Percent(%)()
 15:53:21.240,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.192, 0.212, 0.947, -1.404, 0, 1.221, , , , , , , 12.991, 9.487, 73.037, 45.367, -8.707, 43.380, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.242,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.192, 0.215, 0.948, -1.465, 0, 1.16, , , , , , , 12.986, 9.492, 73.043, 45.367, -8.707, 43.380, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.242,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.191, 0.218, 0.949, -1.831, 0, 1.038, , , , , , , 12.98, 9.487, 73.048, 45.367, -8.707, 43.380, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.242,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.189, 0.221, 0.948, -2.38, 0.122, 0.732, , , , , , , 12.969, 9.487, 73.059, 45.367, -8.707, 43.380, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.242,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.187, 0.223, 0.944, -2.747, 0.305, 0.305, , , , , , , 12.953, 9.487, 73.065, 45.367, -8.707, 43.380, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.242,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.187, 0.224, 0.941, -2.747, 0.427, 0, , , , , , , 12.942, 9.492, 73.065, 45.367, -8.707, 43.380, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.242,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.188, 0.224, 0.938, -2.563, 0.549, -0.244, , , , , , , 12.925, 9.492, 73.065, 45.367, -8.707, 43.380, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.242,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.193, 0.224, 0.938, -2.502, 0.549, -0.427, , , , , , , 12.914, 9.498, 73.07, 45.367, -8.707, 43.380, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.292,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.197, 0.224, 0.938, -2.625, 0.549, -0.549, , , , , , , 12.903, 9.498, 73.065, 47.467, -9.407, 44.313, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.292,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.201, 0.222, 0.941, -2.93, 0.427, -0.732, , , , , , , 12.887, 9.503, 73.065, 47.467, -9.407, 44.313, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.292,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.202, 0.219, 0.944, -3.235, 0.427, -1.038, , , , , , , 12.87, 9.503, 73.059, 47.467, -9.407, 44.313, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.292,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.201, 0.216, 0.948, -3.357, 0.549, -1.343, , , , , , , 12.854, 9.509, 73.059, 47.467, -9.407, 44.313, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.292,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.198, 0.213, 0.952, -3.174, 0.916, -1.526, , , , , , , 12.832, 9.514, 73.054, 47.467, -9.407, 44.313, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.292,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.197, 0.21, 0.956, -2.93, 1.526, -1.587, , , , , , , 12.816, 9.525, 73.048, 47.467, -9.407, 44.313, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.292,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.197, 0.208, 0.958, -2.625, 2.258, -1.526, , , , , , , 12.805, 9.536, 73.043, 47.467, -9.407, 44.313, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.292,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.203, 0.207, 0.96, -2.258, 2.808, -1.465, , , , , , , 12.788, 9.547, 73.043, 47.467, -9.407, 44.313, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.308,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.21, 0.206, 0.963, -1.953, 3.052, -1.648, , , , , , , 12.777, 9.564, 73.037, 47.467, -9.407, 44.313, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.308,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.217, 0.205, 0.965, -2.014, 2.808, -1.892, , , , , , , 12.766, 9.58, 73.032, 47.467, -9.407, 44.313, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.308,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.222, 0.204, 0.967, -2.441, 2.197, -2.136, , , , , , , 12.755, 9.597, 73.026, 47.467, -9.407, 44.313, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.308,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.224, 0.201, 0.97, -3.052, 1.526, -2.258, , , , , , , 12.739, 9.608, 73.021, 47.467, -9.407, 44.313, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.308,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.222, 0.199, 0.974, -3.418, 0.977, -2.258, , , , , , , 12.722, 9.613, 73.01, 47.467, -9.407, 44.313, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.308,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.219, 0.196, 0.979, -3.479, 0.61, -2.319, , , , , , , 12.7, 9.624, 72.999, 47.467, -9.407, 44.313, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.309,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.216, 0.193, 0.986, -3.296, 0.183, -2.441, , , , , , , 12.678, 9.624, 72.988, 47.467, -9.407, 44.313, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.309,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.216, 0.19, 0.993, -3.052, -0.061, -2.502, , , , , , , 12.662, 9.63, 72.982, 47.467, -9.407, 44.313, 28.62, 0.8027, 0.03366, 0.13623, 0.57956, 403, 100,
 15:53:21.371,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.218, 0.187, 1.001, -2.747, -0.427, -2.38, , , , , , , 12.645, 9.63, 72.971, 47.467, -9.407, 44.313, 28.62, 0.80191, 0.0329, 0.13974, 0.57986, 403, 100,
 15:53:21.371,d6:a8:b9:ee:a0:b7, 2015-01-01 00:35:30.145, -0.221, 0.183, 1.008, -2.441, -0.854, -2.075, , , , , , , 12.629, 9.63, 72.955, 47.467, -9.407, 44.313, 28.62, 0.80191, 0.0329, 0.13974, 0.57986, 403, 100,
