Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),Raw power(),Power Percent(%)()
 15:27:49.918,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.208, -0.069, 1.018, 0.061, -0.244, -0.061, , , , , , , -3.642, 9.943, 112.824, 71.727, -37.587, 101.707, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
 15:27:49.918,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.206, -0.07, 1.022, 0, -0.244, 0, , , , , , , -3.642, 9.943, 112.824, 71.727, -37.587, 101.707, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
 15:27:49.918,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.204, -0.073, 1.026, 0, -0.122, 0, , , , , , , -3.642, 9.943, 112.824, 71.727, -37.587, 101.707, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
 15:27:49.918,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.203, -0.075, 1.024, 0.244, 0.061, -0.061, , , , , , , -3.642, 9.943, 112.835, 71.727, -37.587, 101.707, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
 15:27:49.918,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.204, -0.075, 1.021, 0.488, 0.122, -0.061, , , , , , , -3.642, 9.943, 112.835, 71.727, -37.587, 101.707, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
 15:27:49.918,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.205, -0.072, 1.019, 0.61, 0.244, -0.061, , , , , , , -3.642, 9.943, 112.835, 71.727, -37.587, 101.707, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
 15:27:49.918,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.206, -0.071, 1.019, 0.549, 0.366, -0.061, , , , , , , -3.642, 9.943, 112.835, 71.727, -37.587, 101.707, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
 15:27:49.919,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.208, -0.07, 1.019, 0.244, 0.488, -0.122, , , , , , , -3.642, 9.943, 112.846, 71.727, -37.587, 101.707, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
 15:27:49.966,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.206, -0.073, 1.018, 0.183, 0.244, -0.122, , , , , , , -3.642, 9.943, 112.846, 71.727, -37.587, 101.707, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
 15:27:49.966,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.202, -0.074, 1.019, 0.061, 0.122, -0.061, , , , , , , -3.642, 9.943, 112.846, 70.727, -38.213, 103.893, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
 15:27:49.967,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.2, -0.073, 1.02, 0, 0.244, -0.122, , , , , , , -3.642, 9.943, 112.846, 70.727, -38.213, 103.893, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
 15:27:49.967,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.201, -0.071, 1.02, 0, 0.244, -0.183, , , , , , , -3.642, 9.948, 112.857, 70.727, -38.213, 103.893, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
 15:27:49.967,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.204, -0.071, 1.02, 0, 0.305, -0.061, , , , , , , -3.642, 9.948, 112.857, 70.727, -38.213, 103.893, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
 15:27:49.967,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.202, -0.072, 1.02, 0, 0.305, -0.061, , , , , , , -3.642, 9.948, 112.857, 70.727, -38.213, 103.893, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
 15:27:49.967,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.2, -0.074, 1.02, 0, 0.488, -0.061, , , , , , , -3.642, 9.948, 112.857, 70.727, -38.213, 103.893, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
 15:27:49.967,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.202, -0.075, 1.021, 0, 0.549, -0.061, , , , , , , -3.642, 9.948, 112.868, 70.727, -38.213, 103.893, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
 15:27:49.998,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.205, -0.075, 1.019, 0.122, 0.549, -0.061, , , , , , , -3.642, 9.948, 112.868, 70.727, -38.213, 103.893, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
 15:27:49.998,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.207, -0.073, 1.019, 0.122, 0.671, -0.061, , , , , , , -3.642, 9.948, 112.868, 70.727, -38.213, 103.893, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
 15:27:49.998,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.21, -0.072, 1.02, 0, 0.671, -0.061, , , , , , , -3.642, 9.948, 112.868, 70.727, -38.213, 103.893, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
 15:27:49.998,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.212, -0.073, 1.021, 0, 0.488, -0.061, , , , , , , -3.642, 9.948, 112.879, 70.727, -38.213, 103.893, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
 15:27:49.998,d7:ab:97:c1:e4:84, 2015-01-01 00:11:26.720, -0.21, -0.074, 1.019, -0.061, 0.244, -0.061, , , , , , , -3.642, 9.948, 112.879, 70.727, -38.213, 103.893, 24, 0.5484, -0.09918, 0.02481, 0.8299, 405, 100,
