Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),Raw power(),Power Percent(%)()
 15:34:33.196,d6:a8:b9:ee:a0:b7, 2015-01-01 00:18:05.960, -0.416, 0.566, 0.736, 0.183, 0.793, 0.732, , , , , , , 37.463, 23.708, 122.239, 47.767, -27.507, 65.780, 28.26, 0.50656, -0.01901, 0.37671, 0.77524, 403, 100,
 15:34:33.198,d6:a8:b9:ee:a0:b7, 2015-01-01 00:18:05.960, -0.416, 0.566, 0.734, 0.488, 0.671, 1.038, , , , , , , 37.463, 23.708, 122.245, 47.767, -27.507, 65.780, 28.26, 0.50656, -0.01901, 0.37671, 0.77524, 403, 100,
 15:34:33.198,d6:a8:b9:ee:a0:b7, 2015-01-01 00:18:05.960, -0.416, 0.567, 0.733, 0.549, 0.549, 1.282, , , , , , , 37.469, 23.708, 122.256, 47.767, -27.507, 65.780, 28.26, 0.50656, -0.01901, 0.37671, 0.77524, 403, 100,
 15:34:33.198,d6:a8:b9:ee:a0:b7, 2015-01-01 00:18:05.960, -0.416, 0.568, 0.732, 0.61, 0.61, 1.587, , , , , , , 37.48, 23.703, 122.267, 47.767, -27.507, 65.780, 28.26, 0.50656, -0.01901, 0.37671, 0.77524, 403, 100,
 15:34:33.198,d6:a8:b9:ee:a0:b7, 2015-01-01 00:18:05.960, -0.416, 0.568, 0.733, 0.732, 0.854, 1.77, , , , , , , 37.485, 23.703, 122.278, 47.767, -27.507, 65.780, 28.26, 0.50656, -0.01901, 0.37671, 0.77524, 403, 100,
 15:34:33.198,d6:a8:b9:ee:a0:b7, 2015-01-01 00:18:05.960, -0.416, 0.567, 0.734, 1.038, 1.16, 1.831, , , , , , , 37.496, 23.698, 122.289, 47.767, -27.507, 65.780, 28.26, 0.50656, -0.01901, 0.37671, 0.77524, 403, 100,
 15:34:33.198,d6:a8:b9:ee:a0:b7, 2015-01-01 00:18:05.960, -0.415, 0.566, 0.736, 1.343, 1.282, 1.892, , , , , , , 37.507, 23.698, 122.3, 47.767, -27.507, 65.780, 28.26, 0.50656, -0.01901, 0.37671, 0.77524, 403, 100,
 15:34:33.198,d6:a8:b9:ee:a0:b7, 2015-01-01 00:18:05.960, -0.412, 0.564, 0.739, 1.404, 1.343, 2.014, , , , , , , 37.518, 23.698, 122.316, 47.767, -27.507, 65.780, 28.26, 0.50656, -0.01901, 0.37671, 0.77524, 403, 100,
 15:34:33.262,d6:a8:b9:ee:a0:b7, 2015-01-01 00:18:05.960, -0.409, 0.565, 0.74, 1.282, 1.526, 2.075, , , , , , , 37.535, 23.692, 122.327, 46.667, -28.907, 64.100, 28.26, 0.50656, -0.01901, 0.37671, 0.77524, 403, 100,
 15:34:33.262,d6:a8:b9:ee:a0:b7, 2015-01-01 00:18:05.960, -0.404, 0.567, 0.74, 1.16, 1.587, 2.014, , , , , , , 37.546, 23.692, 122.344, 46.667, -28.907, 64.100, 28.26, 0.50656, -0.01901, 0.37671, 0.77524, 403, 100,
 15:34:33.262,d6:a8:b9:ee:a0:b7, 2015-01-01 00:18:05.960, -0.399, 0.57, 0.738, 1.099, 1.587, 1.77, , , , , , , 37.557, 23.692, 122.355, 46.667, -28.907, 64.100, 28.26, 0.50656, -0.01901, 0.37671, 0.77524, 403, 100,
 15:34:33.262,d6:a8:b9:ee:a0:b7, 2015-01-01 00:18:05.960, -0.396, 0.573, 0.734, 1.099, 1.587, 1.648, , , , , , , 37.568, 23.692, 122.371, 46.667, -28.907, 64.100, 28.26, 0.50656, -0.01901, 0.37671, 0.77524, 403, 100,
 15:34:33.262,d6:a8:b9:ee:a0:b7, 2015-01-01 00:18:05.960, -0.395, 0.575, 0.729, 1.343, 1.709, 1.709, , , , , , , 37.579, 23.698, 122.388, 46.667, -28.907, 64.100, 28.26, 0.50656, -0.01901, 0.37671, 0.77524, 403, 100,
 15:34:33.262,d6:a8:b9:ee:a0:b7, 2015-01-01 00:18:05.960, -0.396, 0.574, 0.725, 1.587, 1.892, 1.77, , , , , , , 37.59, 23.698, 122.399, 46.667, -28.907, 64.100, 28.26, 0.50656, -0.01901, 0.37671, 0.77524, 403, 100,
