Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),Raw power(),Power Percent(%)()
 15:45:46.096,d6:a8:b9:ee:a0:b7, 2015-01-01 00:29:14.220, -0.807, -0.125, 0.608, -6.104, 0.427, 18.86, , , , , , , -0.417, 56.069, 108.215, 60.967, -5.307, 75.667, 28.61, 0.54263, -0.3894, 0.27551, 0.69128, 403, 100,
 15:45:46.099,d6:a8:b9:ee:a0:b7, 2015-01-01 00:29:14.220, -0.797, -0.126, 0.608, -5.249, 0.854, 18.311, , , , , , , -0.302, 56.074, 108.391, 60.967, -5.307, 75.667, 28.61, 0.54263, -0.3894, 0.27551, 0.69128, 403, 100,
 15:45:46.100,d6:a8:b9:ee:a0:b7, 2015-01-01 00:29:14.220, -0.79, -0.125, 0.607, -4.456, 1.404, 17.822, , , , , , , -0.187, 56.08, 108.556, 60.967, -5.307, 75.667, 28.61, 0.54263, -0.3894, 0.27551, 0.69128, 403, 100,
 15:45:46.100,d6:a8:b9:ee:a0:b7, 2015-01-01 00:29:14.220, -0.783, -0.124, 0.606, -3.662, 1.953, 17.334, , , , , , , -0.071, 56.085, 108.715, 60.967, -5.307, 75.667, 28.61, 0.54263, -0.3894, 0.27551, 0.69128, 403, 100,
 15:45:46.100,d6:a8:b9:ee:a0:b7, 2015-01-01 00:29:14.220, -0.779, -0.122, 0.604, -2.991, 2.625, 16.785, , , , , , , 0.038, 56.096, 108.869, 60.967, -5.307, 75.667, 28.61, 0.54263, -0.3894, 0.27551, 0.69128, 403, 100,
 15:45:46.100,d6:a8:b9:ee:a0:b7, 2015-01-01 00:29:14.220, -0.776, -0.12, 0.603, -2.502, 3.174, 16.113, , , , , , , 0.154, 56.113, 109.023, 60.967, -5.307, 75.667, 28.61, 0.54263, -0.3894, 0.27551, 0.69128, 403, 100,
 15:45:46.100,d6:a8:b9:ee:a0:b7, 2015-01-01 00:29:14.220, -0.774, -0.117, 0.601, -2.136, 3.784, 15.503, , , , , , , 0.264, 56.129, 109.171, 60.967, -5.307, 75.667, 28.61, 0.54263, -0.3894, 0.27551, 0.69128, 403, 100,
 15:45:46.100,d6:a8:b9:ee:a0:b7, 2015-01-01 00:29:14.220, -0.773, -0.116, 0.6, -1.648, 4.456, 14.648, , , , , , , 0.374, 56.151, 109.303, 60.967, -5.307, 75.667, 28.61, 0.54263, -0.3894, 0.27551, 0.69128, 403, 100,
 15:45:46.116,d6:a8:b9:ee:a0:b7, 2015-01-01 00:29:14.220, -0.775, -0.115, 0.6, -0.854, 5.127, 13.672, , , , , , , 0.478, 56.173, 109.435, 60.967, -5.307, 75.667, 28.61, 0.54263, -0.3894, 0.27551, 0.69128, 403, 100,
 15:45:46.116,d6:a8:b9:ee:a0:b7, 2015-01-01 00:29:14.220, -0.78, -0.115, 0.6, 0.244, 5.554, 12.634, , , , , , , 0.577, 56.201, 109.556, 60.967, -5.307, 75.667, 28.61, 0.54263, -0.3894, 0.27551, 0.69128, 403, 100,
