Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),Raw power(),Power Percent(%)()
 15:45:46.064,d7:ab:97:c1:e4:84, 2015-01-01 00:29:15.120, -0.738, -0.306, 0.689, -6.531, 2.991, 25.94, , , , , , , -18.441, 49.971, 113.439, 87.927, -27.347, 152.453, 24.9, 0.43396, -0.43588, 0.10947, 0.78076, 402, 100,
 15:45:46.064,d7:ab:97:c1:e4:84, 2015-01-01 00:29:15.445, -0.738, -0.305, 0.69, -5.981, 2.93, 25.635, , , , , , , -18.325, 50.026, 113.615, 87.927, -27.347, 152.453, 24.9, 0.43396, -0.43588, 0.10947, 0.78076, 402, 100,
 15:45:46.064,d7:ab:97:c1:e4:84, 2015-01-01 00:29:15.445, -0.737, -0.304, 0.693, -5.493, 2.808, 25.33, , , , , , , -18.21, 50.081, 113.802, 87.927, -27.347, 152.453, 24.9, 0.43396, -0.43588, 0.10947, 0.78076, 402, 100,
 15:45:46.064,d7:ab:97:c1:e4:84, 2015-01-01 00:29:15.445, -0.736, -0.302, 0.695, -5.066, 2.563, 24.902, , , , , , , -18.094, 50.136, 114, 87.927, -27.347, 152.453, 24.9, 0.43396, -0.43588, 0.10947, 0.78076, 402, 100,
 15:45:46.064,d7:ab:97:c1:e4:84, 2015-01-01 00:29:15.445, -0.735, -0.301, 0.698, -4.7, 2.136, 24.292, , , , , , , -17.974, 50.186, 114.181, 87.927, -27.347, 152.453, 24.9, 0.43396, -0.43588, 0.10947, 0.78076, 402, 100,
 15:45:46.065,d7:ab:97:c1:e4:84, 2015-01-01 00:29:15.445, -0.735, -0.3, 0.7, -4.333, 1.831, 23.499, , , , , , , -17.858, 50.229, 114.346, 87.927, -27.347, 152.453, 24.9, 0.43396, -0.43588, 0.10947, 0.78076, 402, 100,
 15:45:46.065,d7:ab:97:c1:e4:84, 2015-01-01 00:29:15.445, -0.731, -0.298, 0.702, -3.906, 1.465, 22.644, , , , , , , -17.748, 50.273, 114.521, 87.927, -27.347, 152.453, 24.9, 0.43396, -0.43588, 0.10947, 0.78076, 402, 100,
 15:45:46.065,d7:ab:97:c1:e4:84, 2015-01-01 00:29:15.445, -0.724, -0.297, 0.704, -3.357, 1.038, 21.79, , , , , , , -17.633, 50.317, 114.703, 87.927, -27.347, 152.453, 24.9, 0.43396, -0.43588, 0.10947, 0.78076, 402, 100,
 15:45:46.081,d7:ab:97:c1:e4:84, 2015-01-01 00:29:15.445, -0.719, -0.291, 0.701, -3.174, 0.854, 20.813, , , , , , , -17.529, 50.356, 114.862, 87.927, -27.347, 152.453, 24.9, 0.43396, -0.43588, 0.10947, 0.78076, 402, 100,
 15:45:46.081,d7:ab:97:c1:e4:84, 2015-01-01 00:29:15.445, -0.714, -0.284, 0.698, -3.174, 1.099, 20.142, , , , , , , -17.419, 50.389, 115.005, 87.927, -27.347, 152.453, 24.9, 0.43396, -0.43588, 0.10947, 0.78076, 402, 100,
 15:45:46.081,d7:ab:97:c1:e4:84, 2015-01-01 00:29:15.445, -0.706, -0.279, 0.699, -3.235, 1.526, 19.775, , , , , , , -17.32, 50.427, 115.159, 87.927, -27.347, 152.453, 24.9, 0.43396, -0.43588, 0.10947, 0.78076, 402, 100,
 15:45:46.081,d7:ab:97:c1:e4:84, 2015-01-01 00:29:15.445, -0.701, -0.276, 0.698, -3.113, 2.075, 19.226, , , , , , , -17.221, 50.466, 115.312, 87.927, -27.347, 152.453, 24.9, 0.43396, -0.43588, 0.10947, 0.78076, 402, 100,
 15:45:46.081,d7:ab:97:c1:e4:84, 2015-01-01 00:29:15.445, -0.698, -0.281, 0.701, -2.502, 2.93, 18.799, , , , , , , -17.128, 50.51, 115.455, 87.927, -27.347, 152.453, 24.9, 0.43396, -0.43588, 0.10947, 0.78076, 402, 100,
 15:45:46.081,d7:ab:97:c1:e4:84, 2015-01-01 00:29:15.445, -0.685, -0.282, 0.699, -2.014, 3.662, 18.616, , , , , , , -17.034, 50.554, 115.582, 87.927, -27.347, 152.453, 24.9, 0.43396, -0.43588, 0.10947, 0.78076, 402, 100,
 15:45:46.082,d7:ab:97:c1:e4:84, 2015-01-01 00:29:15.445, -0.671, -0.276, 0.694, -1.587, 4.517, 17.578, , , , , , , -16.941, 50.603, 115.714, 87.927, -27.347, 152.453, 24.9, 0.43396, -0.43588, 0.10947, 0.78076, 402, 100,
 15:45:46.082,d7:ab:97:c1:e4:84, 2015-01-01 00:29:15.445, -0.668, -0.268, 0.685, -2.014, 5.798, 15.869, , , , , , , -16.859, 50.652, 115.84, 87.927, -27.347, 152.453, 24.9, 0.43396, -0.43588, 0.10947, 0.78076, 402, 100,
 15:45:46.113,d7:ab:97:c1:e4:84, 2015-01-01 00:29:15.445, -0.671, -0.262, 0.683, -2.502, 7.202, 14.832, , , , , , , -16.793, 50.707, 115.944, 87.927, -27.347, 152.453, 24.9, 0.43396, -0.43588, 0.10947, 0.78076, 402, 100,
