Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),Raw power(),Power Percent(%)()
 15:38:31.458,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.485, 0.815, 0.399, -1.587, -0.305, 0.427, , , , , , , 63.413, 26.559, 144.717, 76.827, -116.967, 162.867, 24.66, 0.37537, -0.0463, 0.54541, 0.74789, 403, 100,
 15:38:31.463,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.484, 0.812, 0.397, -1.77, -0.122, 0.549, , , , , , , 63.402, 26.554, 144.723, 76.827, -116.967, 162.867, 24.66, 0.37537, -0.0463, 0.54541, 0.74789, 403, 100,
 15:38:31.463,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.483, 0.809, 0.396, -1.953, 0, 0.671, , , , , , , 63.397, 26.554, 144.723, 76.827, -116.967, 162.867, 24.66, 0.37537, -0.0463, 0.54541, 0.74789, 403, 100,
 15:38:31.463,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.485, 0.803, 0.402, -1.892, 0, 0.854, , , , , , , 63.386, 26.548, 144.723, 76.827, -116.967, 162.867, 24.66, 0.37537, -0.0463, 0.54541, 0.74789, 403, 100,
 15:38:31.463,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.489, 0.802, 0.406, -1.831, 0.183, 0.977, , , , , , , 63.375, 26.543, 144.728, 76.827, -116.967, 162.867, 24.66, 0.37537, -0.0463, 0.54541, 0.74789, 403, 100,
 15:38:31.463,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.492, 0.803, 0.408, -2.136, 0.366, 0.916, , , , , , , 63.369, 26.537, 144.734, 76.827, -116.967, 162.867, 24.66, 0.37537, -0.0463, 0.54541, 0.74789, 403, 100,
 15:38:31.464,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.493, 0.807, 0.409, -2.747, 0.61, 0.854, , , , , , , 63.358, 26.537, 144.739, 76.827, -116.967, 162.867, 24.66, 0.37537, -0.0463, 0.54541, 0.74789, 403, 100,
 15:38:31.464,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.493, 0.806, 0.408, -2.625, 0.549, 0.854, , , , , , , 63.347, 26.532, 144.745, 76.827, -116.967, 162.867, 24.66, 0.37537, -0.0463, 0.54541, 0.74789, 403, 100,
 15:38:31.480,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.491, 0.801, 0.409, -2.441, 0.366, 0.977, , , , , , , 63.336, 26.526, 144.75, 76.827, -116.967, 162.867, 24.66, 0.37537, -0.0463, 0.54541, 0.74789, 403, 100,
 15:38:31.480,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.488, 0.794, 0.411, -2.258, 0.183, 1.16, , , , , , , 63.325, 26.521, 144.761, 76.827, -116.967, 162.867, 24.66, 0.37537, -0.0463, 0.54541, 0.74789, 403, 100,
 15:38:31.480,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.485, 0.79, 0.413, -1.831, 0, 1.404, , , , , , , 63.314, 26.516, 144.761, 76.827, -116.967, 162.867, 24.66, 0.37537, -0.0463, 0.54541, 0.74789, 403, 100,
 15:38:31.480,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.483, 0.792, 0.417, -1.709, -0.305, 1.648, , , , , , , 63.309, 26.51, 144.761, 76.827, -116.967, 162.867, 24.66, 0.37537, -0.0463, 0.54541, 0.74789, 403, 100,
 15:38:31.480,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.485, 0.798, 0.419, -1.892, -0.244, 1.892, , , , , , , 63.298, 26.499, 144.767, 76.827, -116.967, 162.867, 24.66, 0.37537, -0.0463, 0.54541, 0.74789, 403, 100,
 15:38:31.480,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.487, 0.801, 0.419, -1.648, -0.244, 2.075, , , , , , , 63.292, 26.488, 144.778, 76.827, -116.967, 162.867, 24.66, 0.37537, -0.0463, 0.54541, 0.74789, 403, 100,
 15:38:31.481,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.487, 0.802, 0.422, -1.709, -0.244, 2.38, , , , , , , 63.281, 26.477, 144.783, 76.827, -116.967, 162.867, 24.66, 0.37537, -0.0463, 0.54541, 0.74789, 403, 100,
 15:38:31.481,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.486, 0.802, 0.427, -2.136, -0.183, 2.747, , , , , , , 63.276, 26.466, 144.783, 76.827, -116.967, 162.867, 24.66, 0.37537, -0.0463, 0.54541, 0.74789, 403, 100,
 15:38:31.544,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.485, 0.798, 0.429, -1.892, 0, 2.991, , , , , , , 63.265, 26.45, 144.794, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.544,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.486, 0.795, 0.43, -1.77, 0, 3.235, , , , , , , 63.259, 26.433, 144.805, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.544,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.487, 0.79, 0.431, -1.099, -0.061, 3.418, , , , , , , 63.259, 26.417, 144.816, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.544,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.485, 0.789, 0.431, -0.305, -0.366, 3.601, , , , , , , 63.254, 26.4, 144.822, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.544,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.482, 0.792, 0.431, 0.122, -0.793, 3.784, , , , , , , 63.259, 26.384, 144.827, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.544,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.481, 0.8, 0.428, 0.488, -1.221, 3.845, , , , , , , 63.265, 26.362, 144.838, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.544,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.481, 0.811, 0.426, 0.061, -1.648, 3.906, , , , , , , 63.265, 26.34, 144.838, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.544,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.48, 0.818, 0.424, -0.671, -1.709, 3.906, , , , , , , 63.259, 26.318, 144.838, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.577,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.477, 0.817, 0.424, -0.854, -1.648, 3.784, , , , , , , 63.259, 26.296, 144.838, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.577,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.474, 0.813, 0.426, -1.343, -1.587, 3.723, , , , , , , 63.254, 26.274, 144.849, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.577,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.473, 0.806, 0.429, -1.343, -1.465, 3.601, , , , , , , 63.243, 26.252, 144.849, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.577,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.473, 0.8, 0.433, -0.916, -1.526, 3.418, , , , , , , 63.237, 26.235, 144.849, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.577,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.474, 0.798, 0.437, -0.488, -1.526, 3.113, , , , , , , 63.237, 26.213, 144.849, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.577,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.473, 0.8, 0.44, -0.427, -1.16, 2.441, , , , , , , 63.232, 26.197, 144.855, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.577,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.472, 0.802, 0.439, -0.61, -0.732, 1.953, , , , , , , 63.232, 26.186, 144.855, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.577,d7:ab:97:c1:e4:84, 2015-01-01 00:22:03.700, -0.472, 0.801, 0.438, -0.549, -0.488, 1.465, , , , , , , 63.226, 26.18, 144.855, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.608,d7:ab:97:c1:e4:84, 2015-01-01 00:22:04.060, -0.474, 0.8, 0.437, -0.244, -0.61, 1.038, , , , , , , 63.221, 26.169, 144.855, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.608,d7:ab:97:c1:e4:84, 2015-01-01 00:22:04.060, -0.476, 0.8, 0.438, -0.122, -0.671, 0.793, , , , , , , 63.221, 26.164, 144.86, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.608,d7:ab:97:c1:e4:84, 2015-01-01 00:22:04.060, -0.477, 0.8, 0.437, -0.183, -0.671, 0.488, , , , , , , 63.221, 26.158, 144.86, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.608,d7:ab:97:c1:e4:84, 2015-01-01 00:22:04.060, -0.476, 0.799, 0.432, -0.183, -0.61, 0.244, , , , , , , 63.215, 26.153, 144.855, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.608,d7:ab:97:c1:e4:84, 2015-01-01 00:22:04.060, -0.474, 0.795, 0.43, 0, -0.732, 0.183, , , , , , , 63.21, 26.153, 144.849, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.608,d7:ab:97:c1:e4:84, 2015-01-01 00:22:04.060, -0.469, 0.79, 0.432, 0.305, -0.854, 0.305, , , , , , , 63.21, 26.147, 144.855, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.608,d7:ab:97:c1:e4:84, 2015-01-01 00:22:04.060, -0.464, 0.783, 0.431, 1.038, -0.916, 0.488, , , , , , , 63.215, 26.142, 144.849, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.608,d7:ab:97:c1:e4:84, 2015-01-01 00:22:04.060, -0.459, 0.781, 0.428, 1.587, -0.732, 0.732, , , , , , , 63.215, 26.136, 144.844, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.672,d7:ab:97:c1:e4:84, 2015-01-01 00:22:04.060, -0.457, 0.782, 0.422, 1.831, -0.305, 0.793, , , , , , , 63.226, 26.131, 144.844, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.672,d7:ab:97:c1:e4:84, 2015-01-01 00:22:04.060, -0.455, 0.785, 0.417, 2.136, 0.061, 0.793, , , , , , , 63.237, 26.125, 144.855, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.672,d7:ab:97:c1:e4:84, 2015-01-01 00:22:04.060, -0.455, 0.786, 0.412, 2.38, 0.244, 0.854, , , , , , , 63.248, 26.12, 144.855, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.672,d7:ab:97:c1:e4:84, 2015-01-01 00:22:04.060, -0.456, 0.788, 0.407, 2.686, 0.244, 0.977, , , , , , , 63.265, 26.12, 144.855, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.672,d7:ab:97:c1:e4:84, 2015-01-01 00:22:04.060, -0.458, 0.792, 0.402, 2.625, 0.183, 0.854, , , , , , , 63.276, 26.115, 144.86, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.672,d7:ab:97:c1:e4:84, 2015-01-01 00:22:04.060, -0.458, 0.798, 0.395, 2.197, 0, 0.366, , , , , , , 63.287, 26.109, 144.871, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
 15:38:31.672,d7:ab:97:c1:e4:84, 2015-01-01 00:22:04.060, -0.455, 0.806, 0.39, 1.404, -0.122, -0.061, , , , , , , 63.298, 26.109, 144.871, 76.827, -116.967, 162.867, 24.66, 0.36896, -0.04041, 0.54477, 0.75189, 403, 100,
