Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg)
0.545,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.57,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.564,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.521,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.451,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.391,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.38,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.421,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.545,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.57,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.564,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.521,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.451,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.391,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.38,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.421,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.487,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.555,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.57,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.555,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
