Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg)
0.228,2.3119476813692663,1.001226563133807,2.524253714284526,132.4648445975154,57.36605640395581,144.62908424872532,-14.068,-61.298,10.1,-16.622,113.67,17.2
0.226,2.31232529769531,1.0013376785425732,2.524498236204954,132.48648041927294,57.37242284791698,144.64309432276428,-14.057,-61.298,10.1,-16.617,113.67,17.2
0.226,2.3117616962330234,1.0019956011718198,2.5237487708426687,132.4541884341565,57.41011903781896,144.60015312061407,-14.052,-61.254,10.1,-16.611,113.67,17.2
0.227,2.3120485124832477,1.0021758133574026,2.5238957303285776,132.47062179479013,57.42044443546968,144.60857327891605,-14.041,-61.249,10.1,-16.606,113.67,17.2
0.227,2.3125312059547243,1.0022869847710165,2.5241407019246758,132.49827809350424,57.42681408827226,144.62260911747308,-14.03,-61.249,10.1,-16.595,113.67,17.2
0.225,2.313147595123849,1.0024517108744773,2.5245019393129655,132.5335945914327,57.436252198776195,144.6433064952244,-14.013,-61.243,10.1,-16.584,113.676,17.2
0.221,2.3130704829242825,1.0031381014716088,2.5241145904681623,132.52917638784854,57.4755794830893,144.6211130412179,-13.997,-61.205,10.1,-16.573,113.676,17.2
0.216,2.3136234960694253,1.0034825892372488,2.5242765108107594,132.56086170708048,57.49531717815436,144.63039039346603,-13.98,-61.199,10.1,-16.556,113.67,17.2
0.21,2.3688979527019836,1.0183126157560354,2.5538427936638533,135.72785478700496,58.345015107747926,146.32441361683834,-13.958,-61.205,12.2,-16.545,113.67,17.2
0.205,2.369512766147182,1.0185520121377318,2.5541032066946747,135.76308100260275,58.358731510049836,146.33933418443462,-13.942,-61.199,12.2,-16.529,113.67,17.2
0.2,2.3695997623824097,1.0192522321970645,2.5537649302652623,135.7680655197148,58.398851164179995,146.31995237272054,-13.925,-61.161,12.2,-16.512,113.67,17.2
0.198,2.3699303437317134,1.019300621936059,2.5538829757727974,135.78700643581564,58.401623691996114,146.32671588209277,-13.92,-61.161,12.2,-16.501,113.67,17.2
0.197,2.3705169225618055,1.0193365398692742,2.554240055791191,135.82061492713166,58.40368163797818,146.34717506009517,-13.909,-61.166,12.2,-16.49,113.67,17.2
0.196,2.3708164058240895,1.0192519226693952,2.5543567877448794,135.83777405409532,58.398833429550905,146.35386330837582,-13.909,-61.172,12.2,-16.479,113.67,17.2
0.196,2.370138262806936,1.0198790641628803,2.553519879379415,135.7989193213062,58.43476599028513,146.30591199119553,-13.909,-61.133,12.2,-16.474,113.665,17.2
0.197,2.370138262806936,1.0198790641628803,2.553519879379415,135.7989193213062,58.43476599028513,146.30591199119553,-13.909,-61.133,12.2,-16.474,113.665,17.2
0.2,2.353280209878134,1.0292790302231376,2.5880735554337666,134.83302403767766,58.97334437310409,148.28569179577212,-13.914,-61.144,12.2,-16.474,113.665,20.1
0.206,2.35303307839541,1.0291015451891807,2.5878833967947665,134.81886444673276,58.963175229731625,148.27479650831947,-13.925,-61.144,12.2,-16.474,113.67,20.1
0.212,2.3519717710712884,1.0295478746720526,2.5868890233601816,134.75805601629426,58.98874802537244,148.21782310725783,-13.936,-61.106,12.2,-16.479,113.67,20.1
0.218,2.3515503400028006,1.029446735034599,2.586617589068637,134.73390979471424,58.982953151004864,148.2022710679372,-13.947,-61.106,12.2,-16.485,113.67,20.1
0.221,2.35148086385462,1.0292331964136214,2.586679117728169,134.72992910464666,58.97071828925981,148.2057964004475,-13.953,-61.117,12.2,-16.49,113.67,20.1
0.224,2.351143464882117,1.0290402522279858,2.586505744089544,134.71059756751018,58.959663401741295,148.19586282267545,-13.964,-61.117,12.2,-16.496,113.676,20.1
0.225,2.3503237243356443,1.0295554544603358,2.5856389929775974,134.66362989390154,58.989182315250666,148.14620164207264,-13.969,-61.078,12.2,-16.496,113.676,20.1
