Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg),W_Debug_Roll(rad),W_Debug_Pitch(rad),W_Debug_Yaw(rad),W_Debug_Roll(deg),W_Debug_Pitch(deg),W_Debug_Yaw(deg),H_Debug_Roll(rad),H_Debug_Pitch(rad),H_Debug_Yaw(rad),H_Debug_Roll(deg),H_Debug_Pitch(deg),H_Debug_Yaw(deg)
0.228,0.2720231240439399,-0.338665785,1.9589063352407021,15.585776937681423,-19.40412016,112.2370654707314,-0.434,-14.068,-61.298,-3.065,-16.622,113.67,-0.159229341,-0.319115984,-1.978693793,-9.123169235,-18.28399908,-113.3708033,0.035872939,-0.068095203,0.002888839,2.055368011358871,-3.901567734,0.1655182786480209
0.226,0.2716329177714878,-0.338510438,1.9589970364660239,15.563419765130385,-19.3952194,112.24226226813899,-0.434,-14.057,-61.298,-3.076,-16.617,113.67,-0.159219762,-0.318926202,-1.978724338,-9.12262035,-18.27312533,-113.3725534,0.035680422,-0.068008285,0.002896645,2.0443375969471833,-3.896587687,0.16596555446626343
0.226,0.27142382336256965,-0.338207702,1.9582886902467918,15.551439537979594,-19.37787391,112.20167701934295,-0.434,-14.052,-61.254,-3.087,-16.611,113.67,-0.159271996,-0.318727381,-1.977962737,-9.125613169,-18.26173376,-113.3289168,0.035487799775231116,-0.067903983,0.002906013,2.0333011513260546,-3.89061163,0.1665022784580793
0.227,0.2711299975440089,-0.338033098,1.9582916139795126,15.534604558664086,-19.36786985,112.20184453688827,-0.434,-14.041,-61.249,-3.093,-16.606,113.67,-0.15926885,-0.318524807,-1.977905166,-9.125432937,-18.2501271,-113.3256183,0.035382551,-0.067817065,0.002913819,2.0272708230345122,-3.885631582,0.16694954263422523
0.227,0.2707978316640731,-0.3378594,1.9584291816554122,15.515572855645516,-19.35791767,112.20972658411475,-0.439,-14.03,-61.249,-3.098,-16.595,113.67,-0.159346554,-0.318335025,-1.977935712,-9.129884999,-18.23925341,-113.3273685,0.035294122110958004,-0.067625845,0.002930993,2.0222042385772534,-3.874675477,0.16793350524262224
0.225,0.2703459410391188,-0.337671042,1.9585977784421456,15.489681430034105,-19.34712559,112.21938646843404,-0.445,-14.013,-61.243,-3.104,-16.584,113.676,-0.159444215,-0.318026374,-1.977877173,-9.135480559,-18.22156901,-113.3240144,0.035211381,-0.067443582,0.003048356,2.0174635264521132,-3.864232628,0.17465795386381197
0.221,0.2700743111874794,-0.337139862,1.9580709128580263,15.47411819,-19.3166912,112.1891992940933,-0.439,-13.997,-61.205,-3.109,-16.573,113.676,-0.159374386,-0.317653085,-1.977251935,-9.131479702,-18.20018111,-113.2881909,0.035122959,-0.067252363,0.003065533,2.0123972949366977,-3.853276543,0.17564212023694337
0.216,0.2697225792925664,-0.336788407,1.9580728275321404,15.453965432846747,-19.29655433,112.18930899683919,-0.445,-13.98,-61.199,-3.109,-16.556,113.67,-0.159472066,-0.31734443,-1.977193403,-9.137076317,-18.1824965,-113.2848373,0.035098042,-0.066947882,0.002991876,2.0109696928324396,-3.835831093,0.17142189507650998
0.21,0.26917400479704223,-0.336565236,1.9583757254993293,15.422534429504696,-19.28376758,112.2066637719822,-0.45,-13.958,-61.205,-3.115,-16.545,113.67,-0.159532592,-0.316980223,-1.9773602,-9.140544206,-18.16162898,-113.2943941,0.034992175452030747,-0.066756662,0.003009048,2.0049039693826454,-3.824874982,0.17240574242438117
0.205,0.26875079011197356,-0.336268788,1.9584665513887476,15.398286014222302,-19.26678234,112.21186771211639,-0.456,-13.942,-61.199,-3.12,-16.529,113.67,-0.159631172,-0.316688821,-1.977298877,-9.14619244,-18.14493284,-113.2908805,0.034903246394594016,-0.066478523,0.003034024,1.9998087097154442,-3.808938819,0.1738367482269225
0.2,0.268433009,-0.33563244,1.9579796943759447,15.38007848042858,-19.23032227,112.18397286005644,-0.45,-13.925,-61.161,-3.126,-16.512,113.67,-0.159560463,-0.316298252,-1.97667648,-9.14214111,-18.12255488,-113.2552198,0.034796768,-0.066183001,0.003060559,1.9937079353137008,-3.792006643,0.17535713382891363
0.198,0.2682389216446346,-0.335417425,1.958071711498678,15.36895811137795,-19.21800283,112.1892451,-0.45,-13.92,-61.161,-3.131,-16.501,113.67,-0.159556147,-0.316211987,-1.976690357,-9.141893844,-18.11761231,-113.2560148,0.034708367461693486,-0.065991781,0.003077729,1.9886429693442307,-3.781050528,0.17634088099372836
0.197,0.2677865272661212,-0.335278964,1.9582980986596277,15.343037822813686,-19.21006962,112.20221608169037,-0.456,-13.909,-61.166,-3.142,-16.49,113.67,-0.159644975,-0.316035006,-1.976808979,-9.146983262,-18.10747202,-113.2628114,0.034515251,-0.065800561,0.003094898,1.9775781927149496,-3.770094411,0.17732460329499458
