No,Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg),W_Debug_Roll(deg),W_Debug_Pitch(deg),W_Debug_Yaw(deg),H_Debug_Roll(deg),H_Debug_Pitch(deg),H_Debug_Yaw(deg)
0,-0.159,-0.14058333593243955,0.09234033887626758,-0.08446873261401926,-8.05483181879864,5.290711696417931,-4.839701879602353,2.076,7.899,55.558,2.444,-3.406,109.726,17.234095893409787,1.5197866275732979,1.3520932013520974,9.148254763076245,8.003542012749199,-1.7111481510582953
1,-0.159,-0.14061138930170503,0.09356507663651037,-0.08463863305734906,-8.056439158458673,5.360884001090148,-4.849436457942552,2.065,7.938,55.618,2.51,-3.373,109.786,17.272440275570954,1.4992064905432065,1.4094956872468898,9.188939410443863,8.054929453971225,-1.6375666400010076
2,-0.156,-0.1408170271706622,0.09470191421041241,-0.08489742076030755,-8.068221340457983,5.426019996066627,-4.8642639011119595,2.054,7.971,55.679,2.571,-3.356,109.841,17.30476517284385,1.4784648661151703,1.4678847351683089,9.212997543881945,8.102514619808618,-1.569995319604657
3,-0.15,-0.1410302373075892,0.09583141994426536,-0.08513434006659931,-8.080437381453308,5.490735907552228,-4.877838377447644,2.038,7.998,55.739,2.626,-3.345,109.896,17.331070598057813,1.4529521255108246,1.524476314206726,9.230867309172549,8.144236067277404,-1.503732401408585
4,-0.145,-0.1414527351851388,0.0966863679910337,-0.08534633859486832,-8.104644726690134,5.539720822335007,-4.889984998380443,2.027,8.026,55.794,2.67,-3.345,109.946,17.358441347872514,1.4331841025985566,1.576946937885218,9.23692154703921,8.17630237788456,-1.4448055316172992
5,-0.14,-0.14185994990425904,0.09736639739489061,-0.08545060633534474,-8.12797641145133,5.578683637120806,-4.895959099849107,2.01,8.047,55.849,2.697,-3.351,110.001,17.378780601266946,1.40749600329387,1.628444492576006,9.236903477863441,8.190683077371347,-1.3846907557141002
6,-0.135,-0.142297290660785,0.097869085336723,-0.08534633509565112,-8.153034191009326,5.6074855345999195,-4.889984797890066,1.989,8.064,55.893,2.708,-3.362,110.056,17.395218159281352,1.379643807017359,1.6684425500052265,9.231372267279395,8.189442779262265,-1.3280980600334227
7,-0.129,-0.14281658737794925,0.09818777305030602,-0.08542386532774132,-8.182787701217837,5.6257449955709,-4.894426952973505,1.972,8.086,55.942,2.714,-3.373,110.105,17.416612338659018,1.354928812470467,1.7140219781918578,9.225115223243552,8.184624868955199,-1.278517135863897
8,-0.123,-0.14322758880015798,0.09840558768977492,-0.08529949812917471,-8.206336348084271,5.638224855128632,-4.887301237385772,1.956,8.108,55.986,2.714,-3.378,110.16,17.438061204369813,1.3320111247287916,1.7548315503908596,9.225216586302789,8.172639824251918,-1.2243511561271587
9,-0.119,-0.14356660289611928,0.09863648095740296,-0.08528399386957668,-8.225760424978295,5.651454064881703,-4.88641290874633,1.939,8.13,56.025,2.714,-3.378,110.204,17.459558877446824,1.3089170885524437,1.7905469013972708,9.229289323671722,8.16304835487818,-1.1810203197813969
10,-0.117,-0.14382654904480657,0.09895583283634712,-0.08526459772456817,-8.240654242198758,5.669751579724776,-4.885301591498519,1.917,8.152,56.063,2.714,-3.373,110.248,17.481046970716985,1.2810514477649941,1.824465321403502,9.23835463435175,8.15345383948039,-1.1376912123265286
11,-0.117,-0.14398138541092095,0.09907074172365493,-0.08523952728271608,-8.249525712492256,5.676335373996058,-4.883865160989866,1.901,8.174,56.096,2.708,-3.362,110.286,17.502611934651622,1.2599167164165164,1.8544245590200894,9.25267212791589,8.139310057038042,-1.101595721410445
12,-0.12,-0.1442363755143635,0.09939947070418076,-0.08514465455136541,-8.264135569237117,5.695170157183827,-4.878429353892594,1.879,8.201,56.124,2.708,-3.351,110.325,17.529211870679084,1.2336715167978713,1.8784788863207333,9.267263720209053,8.130801043991386,-1.063193483126198
13,-0.124,-0.14440560693222082,0.0997366296083877,-0.0850416793933146,-8.273831815241357,5.714487939420139,-4.87252931194159,1.857,8.223,56.151,2.708,-3.34,110.363,17.550823159170267,1.2075884258161778,1.9015470296673251,9.281757605119195,8.122507920459567,-1.025777219368329
14,-0.129,-0.14466973579291775,0.09999160878318314,-0.08493274657427206,-8.28896528420689,5.729097169999647,-4.86628792115999,1.835,8.245,56.173,2.703,-3.334,110.396,17.57249268329108,1.1823154054533416,1.9196830503223572,9.29063148935758,8.110425053280391,-0.9943890575627153
15,-0.134,-0.14487633111236403,0.10035218768169996,-0.08474375514741861,-8.300802324078319,5.749756819066136,-4.855459510037131,1.807,8.262,56.19,2.697,-3.329,110.429,17.58920160689227,1.1519317277417056,1.9319142549568817,9.298470391625992,8.097364786859867,-0.963223130168444
16,-0.138,-0.1452318898892207,0.10063093797324463,-0.08452160206432807,-8.32117434136104,5.765728034309688,-4.842731075970225,1.785,8.278,56.206,2.692,-3.334,110.462,17.604943178842984,1.1276307366707103,1.9441318421444527,9.296336561141878,8.08527875831357,-0.9318378517628647
17,-0.139,-0.14552843735585996,0.10097576199275182,-0.08440706055785879,-8.338165259624766,5.785484995302187,-4.836168331070465,1.758,8.289,56.223,2.686,-3.34,110.49,17.615658374387053,1.0982338809743535,1.9565256567179492,9.292710892643367,8.073307676516707,-0.9055972620576141
18,-0.136,-0.14573729157000437,0.10137414425510194,-0.08421280534672118,-8.350131724628762,5.808310617567722,-4.825038327323857,1.73,8.3,56.228,2.681,-3.34,110.511,17.626513658300066,1.0697940902749907,1.9569196168197032,9.29447440061896,8.063840746599984,-0.8860280274832786
19,-0.13,-0.14594314010934925,0.10162136275922418,-0.08419041486722825,-8.361925977152156,5.822475194471464,-4.823755447347638,1.703,8.317,56.239,2.67,-3.334,110.528,17.643303452208876,1.0413691545522026,1.9633948535444699,9.301685758665409,8.049392594729982,-0.8717227543844882
20,-0.125,-0.14606346707416154,0.10180095210040108,-0.08399206948968398,-8.368820204397519,5.832764905766435,-4.812391094328422,1.681,8.339,56.239,2.659,-3.318,110.544,17.66523932136774,1.0196599612431263,1.9598290382399524,9.318805506266653,8.03516264552898,-0.8584025397306818
